first_name,last_name,hire_date
Guenter,Schneeberger,4/20/1986
Boriana,Mukaidono,8/27/1986
Kristen,Avouris,9/13/1986
Insup,Copas,1/3/1986
Mayumi,Wuwongse,11/20/1986
Dipankar,Riesenhuber,11/25/1986
Shichao,Syrzycki,1/10/1986
Marin,Sidje,10/24/1986
Boguslaw,Luks,5/7/1986
Shigeu,Kieras,1/30/1986
Isamu,Kobuchi,2/2/1986
Xuedong,Sgarro,12/24/1986
Ghassan,Walston,6/15/1986
Armond,Karunanithi,11/13/1986
Munehiko,Beznosov,1/3/1986
Kristen,Salverda,7/29/1986
Kwok,Valiente,12/30/1986
Mikhail,Salvesen,8/9/1986
Jaques,Usery,1/11/1986
Gunilla,Legleitner,11/15/1986
Ibibia,Dayang,1/29/1986
Richard,Godskesen,3/22/1986
Rimli,Bellone,2/3/1986
Hisao,Lodder,5/8/1986
Pascal,Leslie,12/22/1986
Jianwen,Baranowski,5/9/1986
Gennadi,Beznosov,6/25/1986
Serge,Sifakis,6/7/1986
Yuuichi,Sadowski,2/22/1986
Filipe,Ramamoorthy,11/2/1986
Billur,Fiutem,6/11/1986
Vidya,Dymetman,1/1/1986
Sigeru,Langford,5/17/1986
Marjo,Cools,12/4/1986
Boriana,Wendorf,10/6/1986
Shai,Olano,11/15/1986
Boalin,Zhang,12/23/1986
Mario,Narahari,2/12/1986
Naftali,Syang,1/28/1986
Lijia,Birta,2/1/1986
Uli,Ranum,2/26/1986
Gay,Khamsi,5/27/1986
Arne,Geffroy,9/7/1986
Mrinalini,Muntz,4/28/1986
Feipei,Ligten,4/29/1986
Charlene,Fabrizio,2/13/1986
Kazuyasu,Pileggi,1/16/1986
Temple,Zastre,7/22/1986
Guther,Huxford,11/20/1986
Yinghua,Petersohn,9/25/1986
Steve,Munoz,12/10/1986
Mads,Ramalingam,8/1/1986
Xuedong,Fujisaki,3/9/1986
Beshir,Serre,12/8/1986
Ottavia,Perl,7/1/1986
Abdelwaheb,Basawa,10/28/1986
Xuedong,Rossi,4/12/1986
Shawna,Leuchs,9/8/1986
Harngdar,Gire,2/11/1986
Constantine,Hedayat,12/2/1986
Barton,Jenevein,3/24/1986
Clyde,Perly,9/10/1986
Yunming,Papsdorf,12/29/1986
Tsz,Suppi,3/8/1986
Georgi,Osgood,10/26/1986
Sandeepan,Sessa,6/22/1986
Ramzi,Thiria,12/14/1986
Demos,Bahi,10/5/1986
Boriana,Lunn,8/6/1986
Ziya,Cronau,9/14/1986
Lalit,Pellegrinelli,8/29/1986
Sedat,Kuhnemann,6/2/1986
Shay,Ranon,10/6/1986
Mansur,Weiland,7/19/1986
Zhanqiu,Merkl,7/21/1986
Samphel,Tchuente,6/23/1986
Gao,Zizka,10/24/1986
Masali,Dichev,2/2/1986
Yurii,Tetzlaff,12/26/1986
Adin,Kleiser,8/28/1986
Conor,Hofting,7/3/1986
Petter,Serra,7/5/1986
Jamaludin,Remmele,6/14/1986
Vasilii,Karunanithi,10/15/1986
Boutros,Lorys,7/15/1986
Jiakeng,Suermann,8/7/1986
Petter,Thummel,9/16/1986
Kwok,Puoti,8/27/1986
Lihong,Munke,4/13/1986
Khue,Ramsak,8/10/1986
Udo,Tetzlaff,4/9/1986
Christoph,Stavenow,4/12/1986
Yuichiro,Lund,1/28/1986
Danel,Danecki,5/4/1986
Kenroku,Piazza,11/2/1986
Lijia,Selvestrel,5/31/1986
Bodo,Bergere,5/14/1986
Shridhar,Krychniak,11/2/1986
Maik,Sevcikova,4/12/1986
Temple,Alpin,8/31/1986
Arnould,Farrar,3/1/1986
Arco,Granlund,11/22/1986
Quingbo,Leijenhorst,2/17/1986
Wojceich,Benveniste,6/23/1986
Charlene,Steenbeek,7/19/1986
Fumino,Biran,2/10/1986
Youssef,Zeidenstein,10/26/1986
Danae,Hebert,10/11/1986
Teruyuki,Angelov,11/8/1986
Maren,Parascandalo,7/6/1986
JoAnne,Caine,10/15/1986
Jayson,Zumaque,2/26/1986
Hilary,Ghazalie,5/4/1986
Pradeep,Genther,11/25/1986
Woody,Guerreiro,10/9/1986
Kensei,Gist,12/17/1986
Zvonko,Boguraev,12/28/1986
Yongmin,Kusakabe,1/26/1986
Lihong,Zwicker,9/3/1986
Dietrich,Farrow,2/16/1986
Rosalyn,Picaronny,12/7/1986
Jingling,Schaaf,6/29/1986
Wojceich,Bugaenko,9/3/1986
Gill,Liesche,2/27/1986
Yoshimitsu,Sgarro,8/26/1986
Toong,Mitchem,2/5/1986
Hercules,Ghalwash,10/12/1986
Keiichiro,Szilard,8/5/1986
Kellyn,Brookman,3/25/1986
Monique,Radwan,9/10/1986
Souichi,Fasbender,12/11/1986
Xiping,Sewelson,9/16/1986
Gil,Teitelbaum,7/16/1986
Jaideep,Whittlesey,9/30/1986
Hilari,Fairtlough,11/11/1986
Zejun,Massonet,10/20/1986
Amstein,Kugler,9/2/1986
Atreyi,Rousseau,4/13/1986
Behnaam,Docker,2/25/1986
Duangkaew,Baaz,12/17/1986
Shigehito,Matzat,8/7/1986
Giordano,Bultermann,6/1/1986
Ute,Ferriere,12/1/1986
Fuqing,Valette,3/10/1986
Avishai,Brodie,5/10/1986
Vishwani,Thorensen,7/19/1986
Shugo,Reghbati,11/10/1986
Roselyn,Rosin,2/16/1986
Ayakannu,Krogh,8/2/1986
Qunsheng,Hanratty,12/14/1986
Sven,Veccia,3/7/1986
Ennio,Eterovic,12/16/1986
Sadegh,Katalagarianos,1/28/1986
Neelam,Camurati,1/31/1986
Mani,Bolsens,4/4/1986
Ohad,Sridhar,8/5/1986
Suzette,Schneeberger,11/23/1986
Mizuhito,Heping,11/11/1986
Paraskevi,Merlo,5/2/1986
Arunachalam,Milicia,10/27/1986
Nechama,Yeung,2/2/1986
Alselm,Foote,5/1/1986
Tsutomu,Baik,4/22/1986
Leni,Osgood,8/5/1986
Petter,Talmon,8/17/1986
Mang,Basawa,2/10/1986
Basem,Smailagic,11/9/1986
Takahira,Kusalik,12/6/1986
Berthier,Pietrzykowski,6/30/1986
Oldrich,Rotem,3/6/1986
Kerhong,Rothenberg,3/7/1986
Deborah,Ferretti,12/17/1986
Xiaobin,Kitsuregawa,6/30/1986
Dekang,Prampolini,11/17/1986
Maria,Taubenfeld,12/15/1986
Mohan,Sadowski,7/30/1986
Xinyu,Heusch,4/21/1986
Ioana,Gecsei,3/11/1986
Alejandra,Doering,2/24/1986
Arup,Hemaspaandra,5/18/1986
Leon,Ruther,2/17/1986
Yuping,Hofman,9/3/1986
Mani,Barreiro,12/25/1986
Tonia,Jenevein,9/25/1986
Kristin,Schlegelmilch,1/21/1986
Maren,Hellwagner,5/8/1986
Bodo,Schade,2/14/1986
Eckart,Burnard,12/30/1986
Stepehn,Luca,10/9/1986
Fabrizio,Erol,2/28/1986
Lokesh,Kulisch,4/22/1986
Abdelkader,Welham,8/12/1986
Khun,Kobara,1/11/1986
Jackson,Lorch,12/5/1986
Gal,Melski,10/12/1986
Xuejun,Baig,5/30/1986
Amalendu,Gronowski,12/26/1986
Aamer,Belinskaya,12/13/1986
Jaideep,Chinal,4/30/1986
Kazuhira,Holburn,11/4/1986
Masaki,Cyre,9/20/1986
Kiyokazu,Copas,8/24/1986
Theron,Aamodt,3/16/1986
Takushi,Georg,2/13/1986
Aiichiro,Poupard,5/30/1986
Alassane,Conte,7/31/1986
Jamaludin,Masamoto,1/26/1986
Shahid,Tanemo,5/29/1986
Oksana,Riesenhuber,6/5/1986
Xuejun,Marrevee,9/3/1986
Youngkon,Kugler,6/24/1986
Mohan,Auyong,2/5/1986
Jiafu,Gulak,5/13/1986
Piyawadee,England,6/6/1986
Genta,Baca,8/21/1986
Gil,Roisin,10/15/1986
Parke,Marquardt,4/29/1986
Boguslaw,Wolniewicz,8/26/1986
Jinpo,Pusterhofer,4/19/1986
Junsik,Griswold,5/30/1986
Oldrich,Holburn,5/31/1986
Manu,Ellozy,11/18/1986
Kankanahalli,Tokunaga,11/14/1986
Leaf,Soicher,8/21/1986
Tua,Kadhim,9/1/1986
Bojan,Diderrich,4/16/1986
Haldon,Schoegge,6/7/1986
Radhakrishnan,Antonisse,9/12/1986
Abdelaziz,Klyachko,1/20/1986
Elvis,Kohling,2/25/1986
Frederique,Toyoshima,5/3/1986
Otilia,Ritzmann,6/22/1986
Sumant,Rossi,3/27/1986
Takahiro,Shinomoto,4/30/1986
Olivera,Langford,2/19/1986
Laurentiu,Halevi,6/17/1986
Herb,Gewali,11/11/1986
Renny,Zuberek,8/1/1986
Taiji,Segond,6/23/1986
Xinan,Yamaashi,1/29/1986
Kaijung,Raney,10/16/1986
Bader,Pellegrinelli,11/19/1986
Reuven,Asmuth,12/20/1986
Christoph,Gulik,2/17/1986
Boaz,Belinskaya,3/16/1986
Mayumi,Czap,1/16/1986
Marla,Baar,6/16/1986
Conrado,Deville,6/4/1986
Giri,Basagni,11/14/1986
Torsten,Lienhardt,8/19/1986
Gila,Lamma,7/17/1986
Christoper,Shackel,6/3/1986
Mari,Waschkowski,5/5/1986
Maris,Dratva,11/4/1986
Wanqing,Vidal,4/28/1986
Niclas,Buchter,3/29/1986
Zhigen,Aseltine,1/23/1986
Marit,McDermid,8/20/1986
DAIDA,Bruckman,10/16/1986
Augustine,Gomatam,7/23/1986
Howell,Takkinen,6/2/1986
Mari,Kambil,8/26/1986
Hideo,Maquelin,4/19/1986
Filipe,Muhlberg,9/23/1986
Douadi,Schwaller,11/30/1986
Taiji,Lorie,7/19/1986
Abdulla,Gerlach,6/13/1986
Yucel,Kowalchuk,5/29/1986
Parto,Poupard,2/19/1986
Kinh,Dengi,9/10/1986
Christoph,Lovengreen,8/24/1986
Weicheng,Parascandalo,6/2/1986
Irene,Kolvik,11/9/1986
Youjian,Chiola,12/12/1986
Karsten,Geffroy,8/13/1986
Stabislas,Luit,2/23/1986
Pragnesh,Acton,11/4/1986
Gennadi,Soicher,2/20/1986
Paddy,Gien,3/14/1986
Vishwani,Erdmenger,2/3/1986
Zongyan,Jeansoulin,8/1/1986
Elrique,Ravishankar,9/5/1986
Guadalupe,Stavenow,3/30/1986
Tsvetan,Stranks,5/20/1986
Khue,Keohane,7/20/1986
Tayeb,Grospietsch,11/30/1986
Jingling,Kavanagh,4/17/1986
Jordanka,Stentiford,5/5/1986
Eishiro,Khalil,10/13/1986
Ravishankar,Erez,6/22/1986
Tzvetan,Zweizig,3/14/1986
Heather,Hitomi,5/23/1986
Howell,Kruskal,7/14/1986
Serif,Adachi,2/17/1986
Vugranam,Roohalamini,6/12/1986
Goo,Wroclawski,12/14/1986
Subir,Matzel,6/20/1986
Olivera,Swiss,12/2/1986
Demin,Byoun,3/7/1986
Munir,Veldwijk,3/17/1986
Freyja,Jiafu,3/23/1986
Mahmut,Skafidas,3/16/1986
KayLiang,Fargier,2/23/1986
Billie,Macedo,10/3/1986
Srinidhi,Vickson,6/7/1986
Boutros,Ozeri,7/19/1986
Miyeon,Ullian,10/19/1986
Make,Schaad,10/8/1986
Pranjal,Mukaidono,6/15/1986
Jungsoon,Fadgyas,6/21/1986
Amabile,Schaaf,8/28/1986
Nevin,Fadgyas,2/18/1986
Chuanyi,Schaad,9/25/1986
Mingsen,Sidou,8/11/1986
Khaled,Panwar,7/6/1986
Satosi,Kakkad,10/21/1986
Ebbe,Ermel,6/15/1986
Adly,Pelc,1/11/1986
Anyuan,Bierman,6/13/1986
Aamod,Shumilov,9/18/1986
Vasilis,Szilard,7/29/1986
Flemming,Baba,2/12/1986
Shigenori,Fadgyas,12/2/1986
Bodh,Moehrke,1/11/1986
Ingmar,Massonet,3/31/1986
Freyja,Chinal,11/8/1986
Genki,Kragelund,3/28/1986
Niteen,Ruther,12/11/1986
Vidya,Lambe,7/16/1986
Debatosh,Botman,3/15/1986
Kiam,Botman,11/17/1986
Akemi,Salvesen,11/14/1986
Takushi,Kalorkoti,6/21/1986
Mitsuyuki,Jarecki,1/12/1986
Anyuan,Cannane,2/2/1986
Akemi,Fujisaki,12/16/1986
Zita,Feinberg,4/21/1986
Erez,Picaronny,12/22/1986
Karlis,Merkl,5/5/1986
Alejandro,Liesche,9/8/1986
Lucien,Riesenhuber,9/4/1986
Akhilish,Kamber,4/29/1986
Jaideep,Koshiba,9/16/1986
Valeri,Kossowski,3/4/1986
Martina,Perfilyeva,1/12/1986
Toong,Shinomoto,1/27/1986
Boutros,Chiodo,8/10/1986
Chrisa,Zeleznik,12/9/1986
Kazuhisa,Underwood,5/29/1986
Luerbio,Nilsson,11/17/1986
Jiang,Angelov,12/12/1986
Teiji,Chartres,4/4/1986
Goetz,Anido,10/26/1986
Tomokazu,Muhlberg,12/18/1986
Ult,Eugenio,7/11/1986
Mohd,Fujisawa,9/7/1986
Martial,Molenaar,3/30/1986
Masamitsu,Hiraishi,4/10/1986
Conrado,Rettelbach,3/20/1986
Thodoros,Luders,11/9/1986
Tuval,Lamparter,11/6/1986
Demin,Daescu,9/19/1986
Ziva,Fiutem,1/28/1986
Yagil,Apsitis,9/18/1986
Khalil,Bolsens,8/4/1986
Krisda,Thibadeau,3/8/1986
Tomokazu,Yetim,7/6/1986
Georgy,Bouloucos,10/16/1986
Samphel,Uehara,9/29/1986
Mansur,Riesenhuber,9/15/1986
Reinhold,Perz,5/15/1986
Flemming,Kavanagh,11/3/1986
Serge,Chaudhury,1/4/1986
Demin,Silva,4/27/1986
Rasikan,Beetstra,3/5/1986
Kamakshi,Chachaty,8/27/1986
Yuguang,Marquardt,12/27/1986
Heather,Ratzlaff,2/8/1986
Yinghua,Baca,3/16/1986
Kwee,Snedden,6/20/1986
Masanao,Smeets,4/6/1986
Juichirou,Marshall,2/22/1986
Mooi,Casley,10/29/1986
Denny,Ozeki,11/17/1986
Chriss,Genther,8/25/1986
Jiann,McFarlan,2/4/1986
Gila,Schreiter,7/6/1986
Rasiah,Bouloucos,2/16/1986
Dung,Zongker,5/29/1986
Karlis,Chimia,12/12/1986
Elliott,Pluym,4/23/1986
Elzbieta,Thiria,3/21/1986
Zongyan,Linares,4/15/1986
Moto,Christianini,5/3/1986
Susanta,Avouris,7/16/1986
Salvador,Berstel,2/5/1986
Quingbo,Schurmann,8/31/1986
Kwun,Figueira,5/27/1986
Pranav,Chenney,1/16/1986
Freyja,Oaver,10/21/1986
Kiyotoshi,Klyachko,4/13/1986
Douadi,Khalil,9/8/1986
Bowen,Alvarado,10/30/1986
Ipke,Daescu,11/18/1986
Xiaobin,Crooks,5/17/1986
Oscar,Masaki,7/26/1986
Jordanka,Demizu,5/8/1986
Zine,Radhakrishnan,11/19/1986
Nathan,Haldar,6/11/1986
Khoa,Maierhofer,8/14/1986
Sushant,Reghbati,9/8/1986
Pasqua,Borstler,4/11/1986
Yoshinari,Pollacia,1/29/1986
Remmert,Feldhoffer,4/1/1986
Palash,Onuegbe,2/3/1986
Shawna,Bardell,10/23/1986
Pasqua,Marzano,9/5/1986
Shaowei,Nicolson,7/19/1986
Junichi,Trelles,12/5/1986
Mamdouh,Ghandeharizadeh,1/8/1986
Magy,Assaf,7/7/1986
Woody,Yavatkar,10/14/1986
Hidde,Akiyama,2/15/1986
Berni,Zeleznik,8/23/1986
Boaz,Giveon,10/19/1986
Gino,Pashtan,8/3/1986
Berhard,Tasistro,2/20/1986
Xianlong,Knightly,5/9/1986
Conor,Quaggetto,10/8/1986
Atreye,Redmiles,1/21/1986
Qunsheng,Birrer,5/13/1986
Goh,Benaini,4/3/1986
Giap,Krychniak,4/5/1986
Bernd,Speek,12/20/1986
Taiji,Hainaut,2/3/1986
Lalit,Colorni,8/11/1986
Zorica,Hiroyama,6/16/1986
Girolamo,Streit,2/7/1986
Hailing,Foote,4/21/1986
Jaewoo,Ratnaker,6/2/1986
Toshimori,Cronin,8/24/1986
Frazer,Pellegrinelli,5/23/1986
Dulce,Meszaros,4/25/1986
Kerryn,Fargier,6/13/1986
Aksel,Weiland,8/26/1986
Frazer,Pleszkun,6/19/1986
Valeska,Katalagarianos,3/8/1986
Mohua,Marchesini,8/20/1986
Susumu,Foote,5/21/1986
Youjian,Ranta,7/4/1986
Pranay,Perez,5/13/1986
Sastry,Jonsson,5/1/1986
Goetz,Hitomi,8/29/1986
Kazunori,Pepe,9/11/1986
Baziley,Motley,2/20/1986
Gadiel,Krychniak,2/20/1986
Goetz,Melichar,11/9/1986
Ghassan,Sgarro,7/12/1986
Danel,Laurillard,6/23/1986
Ottavia,Ventosa,1/4/1986
Gilbert,Trelles,9/22/1986
Jeanne,Hettesheimer,2/16/1986
Mayuri,Bernick,12/17/1986
Ronnie,Rathonyi,2/19/1986
Khalil,Percebois,3/13/1986
Leandro,Bondorf,9/5/1986
Tetsurou,Zschoche,10/27/1986
Xiadong,Huxford,1/11/1986
Chriss,Baez,9/22/1986
Weiye,Bierman,6/19/1986
Yifei,Merli,6/7/1986
Siddarth,Baca,11/5/1986
Stevo,Riexinger,9/28/1986
Richard,Borovoy,1/23/1986
Guangming,Takkinen,5/24/1986
Shuky,Gente,9/16/1986
Shao,Ramsak,4/7/1986
Fumiyo,DuCasse,10/1/1986
Eirik,Paludetto,6/9/1986
Olivera,Landherr,6/23/1986
Irena,Rikino,3/8/1986
Premal,Hanratty,9/8/1986
Stafford,Panangaden,12/21/1986
Garnik,Litzkow,10/1/1986
Moon,Schwabacher,5/19/1986
Sakthirel,Ramsak,9/4/1986
Maia,Levasseur,12/12/1986
Weiwu,Selenyi,2/17/1986
Yurii,Ranst,11/1/1986
Teiji,Wuwongse,7/18/1986
Hsiangchu,Biros,8/2/1986
Toshimori,Straney,3/10/1986
Renee,Basart,10/30/1986
Arvin,Rajaraman,6/23/1986
Gao,Poehlman,11/26/1986
Niclas,Dalphin,1/25/1986
Cordelia,Schwabacher,6/19/1986
Hitomi,Herber,2/2/1986
Koldo,Detkin,6/28/1986
Olivera,Shumilov,3/19/1986
Elgin,Setia,4/12/1986
Doowon,Setlzner,10/22/1986
Marin,Heijenga,10/25/1986
Shahar,Murtha,6/6/1986
Anyuan,Hoppenstand,3/24/1986
Bader,Chorvat,3/26/1986
Abdulla,Ponthieu,10/10/1986
Zeydy,Ladret,7/19/1986
Alain,Linnainmaa,9/17/1986
Premsyl,Casperson,11/5/1986
Chiradeep,Ciolek,12/10/1986
Gou,Gammage,2/19/1986
Olivera,Thibadeau,12/23/1986
Tse,Kalsbeek,2/25/1986
Miomir,Mansanne,8/22/1986
Subbu,Begiun,7/21/1986
Parke,Deville,12/10/1986
Elzbieta,Thorensen,6/20/1986
Clyde,Swift,3/14/1986
Subir,Suessmith,1/5/1986
Sanjiv,Uehara,9/13/1986
Eldridge,Papadias,8/19/1986
Szabolcs,Usdin,12/17/1986
Mack,Erdi,9/29/1986
Shirish,Osgood,6/10/1986
Francesca,Basawa,2/5/1986
Spyrose,Parhami,10/1/1986
Stamatina,Valtorta,11/25/1986
Mrinalini,Hennebert,2/8/1986
Odinaldo,Giaccio,10/9/1986
Tetsushi,Melski,11/8/1986
Evgueni,Marshall,11/18/1986
Bodh,Hiltgen,6/16/1986
Lobel,Zuberek,8/4/1986
Pranjal,Worfolk,9/9/1986
Satoru,Porotnikoff,10/20/1986
Xiong,Peot,4/29/1986
Trygve,Birdsall,9/10/1986
Sangeeta,Rosar,10/12/1986
Morrie,Smeets,1/6/1986
Kwangsub,Shimshoni,12/13/1986
Lorien,Kaelbling,4/18/1986
Vitaly,Ulupinar,1/17/1986
Gopalakrishnan,Baba,12/15/1986
Macha,Chartres,2/24/1986
Gaetan,Farrar,7/12/1986
Zhiwei,Selvestrel,10/13/1986
Patricia,Ullian,4/15/1986
Uwe,Callaway,5/9/1986
Suzette,Schlegelmilch,1/22/1986
Henk,Peltason,5/30/1986
Tzvetan,Picel,6/7/1986
Cedric,Kalefeld,12/25/1986
Sampalli,Ramaiah,9/24/1986
Fabrizio,Marletta,3/27/1986
Giri,Egerstedt,9/24/1986
Greger,Anily,3/8/1986
Sajjan,Dahlbom,6/30/1986
Jixiang,Marwedel,11/12/1986
Arnould,Kavvadias,1/3/1986
Gianluca,Sevcikova,7/11/1986
Alain,Gyorkos,4/30/1986
Kayoko,Walston,6/13/1986
Mohammad,Yoshimura,8/1/1986
Takahiro,Milicia,10/13/1986
Heon,Thorelli,8/2/1986
Nectarios,Maliniak,1/16/1986
Lobel,Barvinok,5/7/1986
Nigel,Iacovou,11/28/1986
Xumin,Conta,4/3/1986
Jouni,Boreale,12/30/1986
Mahmut,Peris,1/6/1986
Ger,Cooke,11/6/1986
Wilmer,Lamparter,10/28/1986
Rimli,Ouhyoung,3/10/1986
Samphel,Ghemri,11/24/1986
Weiru,Swift,7/22/1986
Munenori,Marrevee,2/28/1986
Marin,Zirintsis,6/20/1986
Goa,Osgood,2/8/1986
Sastry,Hitomi,7/31/1986
Indrajit,Peck,6/16/1986
Khedija,Schaad,10/2/1986
Boaz,Melichar,9/5/1986
Aluzio,Georgakopoulos,3/25/1986
Supot,Oaver,3/15/1986
Hatem,Asser,2/28/1986
Poornachandra,Sudbeck,8/13/1986
Arnd,Yamaashi,10/14/1986
Shim,Swick,8/19/1986
Licheng,Zhang,8/16/1986
Deborah,Rouquie,2/28/1986
Mizuhito,Kossowski,1/8/1986
Takahiro,Matzov,10/10/1986
Kwangsub,Uhrig,1/19/1986
Bedrich,Businaro,9/25/1986
Taizo,Linares,4/4/1986
Yucel,Rosch,1/5/1986
Ortrud,Fabrizio,12/2/1986
Denis,Shackel,6/2/1986
Basem,Klerer,1/29/1986
Mayumi,Gustavson,9/17/1986
Stafford,Kornatzky,8/29/1986
Cathie,Sessa,1/10/1986
Souichi,Duclos,7/31/1986
Byong,Benner,2/10/1986
Constantino,Krogh,4/28/1986
Lokesh,Jayawardene,4/26/1986
Sibyl,Luef,8/20/1986
Aluzio,Kakkad,5/31/1986
Tuval,Ruemmler,8/30/1986
Fun,Rajaraman,11/5/1986
Hailing,Morrey,9/25/1986
Marla,Seghrouchni,11/16/1986
Ronnie,Lichtner,5/15/1986
Arun,Giarratana,10/24/1986
Sreekrishna,Duclos,3/1/1986
Suzette,Schieder,3/17/1986
Mototsugu,Edelhoff,3/5/1986
Shakhar,Heuter,3/4/1986
Jianhao,Peres,10/26/1986
Doowon,Mukaidono,11/3/1986
Kish,Ducloy,7/30/1986
Ronnie,Chartres,1/23/1986
Makato,Gide,1/14/1986
Nobuyoshi,Kitsuregawa,5/8/1986
Uriel,Barreiro,7/30/1986
Moty,Henders,5/5/1986
Arfst,Barriga,6/1/1986
Sanjiv,Plump,5/26/1986
Luise,Matzat,7/25/1986
Kristof,Desikan,9/24/1986
Sandeepan,Mondadori,10/4/1986
Kwangyoen,Steinauer,3/19/1986
Sergi,Mitchem,9/2/1986
Anneke,Munke,8/2/1986
Marlo,Tiemann,9/5/1986
Tesuya,Speel,11/22/1986
Nirmal,Rosis,6/24/1986
Tetsurou,Garnick,12/14/1986
Reinhold,Wegerle,8/9/1986
Vitali,Eickenmeyer,10/1/1986
Martien,Walstra,10/22/1986
Maria,Warwick,8/7/1986
Yifei,Stanger,9/2/1986
Sreekrishna,Wynblatt,8/19/1986
Shichao,Tempesti,10/21/1986
Charmane,Huttel,7/14/1986
Perla,Beetstra,3/28/1986
Lorien,Perng,8/11/1986
Xinglin,Ponthieu,1/18/1986
Arif,Macedo,12/22/1986
Licheng,Welham,12/23/1986
Morrie,Luck,2/3/1986
Diederik,VanScheik,7/11/1986
Xiaocheng,Birke,6/26/1986
Martial,Manderick,6/22/1986
Ebbe,Silva,6/11/1986
Muneo,Raoux,2/14/1986
Fumiyo,Ariola,5/29/1986
Zhilian,Goodrum,1/27/1986
Ranan,Weedon,1/15/1986
Chiradeep,Pettis,7/5/1986
Nahid,Neiman,9/20/1986
Sergi,Schiettecatte,1/4/1986
Janalee,Viele,3/27/1986
Kazunori,Pintelas,6/19/1986
Baoqiu,Kakkar,3/3/1986
Yannis,Onuegbe,9/19/1986
Tse,Dredge,6/14/1986
